-51.242, -54.289, 30.133
-49.614, -53.127, 20
-47.986, -51.966, 100
-46.376, -50.781, 100
-44.84, -49.5, 100
-43.304, -48.219, 100
-41.831, -46.869, 100
-40.403, -45.468, 100
-38.992, -44.052, 100
-37.689, -42.535, 100
-36.386, -41.017, 100
-35.196, -39.411, 100
-34.033, -37.784, 100
-32.963, -36.097, 100
-31.952, -34.371, 100
-31.021, -32.603, 100
-30.17, -30.793, 100
-29.394, -28.952, 100
-28.707, -27.074, 100
-28.095, -25.172, 100
-27.57, -23.242, 100
-27.124, -21.294, 100
-26.754, -19.328, 100
-26.467, -17.35, 100
-26.242, -15.363, 100
-26.104, -13.369, 100
-26.011, -11.371, 100
-26.007, -9.372, 100
-26.032, -7.372, 100
-26.144, -5.375, 100
-26.273, -3.379, 100
-26.485, -1.391, 100
-26.704, 0.597, 100
-26.995, 2.576, 100
-27.295, 4.553, 100
-27.646, 6.522, 100
-28.01, 8.489, 100
-28.408, 10.449, 99.348
-28.819, 12.406, 96.757
-29.251, 14.359, 94.095
-29.693, 16.309, 91.356
-30.145, 18.257, 88.532
-30.602, 20.204, 85.615
-31.061, 22.151, 82.595
-31.513, 24.099, 79.46
-31.96, 26.049, 76.197
-32.389, 28.002, 72.787
-32.797, 29.96, 69.21
-33.185, 31.922, 65.437
-33.519, 33.894, 61.433
-33.819, 35.871, 57.15
-34.063, 37.856, 52.518
-34.211, 39.85, 47.436
-34.279, 41.847, 41.744
-34.247, 43.847, 35.139
-34.046, 45.836, 26.958
-33.663, 47.797, 20
-33.081, 49.706, 20
-32.276, 51.53, 20
-31.237, 53.233, 20
-29.974, 54.782, 20
-28.482, 56.114, 20
-26.837, 57.244, 32.254
-25.093, 58.215, 50.95
-23.277, 59.053, 71.989
-21.378, 59.678, 76.418
-19.46, 60.238, 73.022
-17.506, 60.664, 69.457
-15.54, 61.023, 65.702
-13.558, 61.289, 61.715
-11.573, 61.525, 57.453
-9.576, 61.617, 52.852
-7.577, 61.614, 100
-5.577, 61.611, 100
-3.577, 61.601, 100
-1.577, 61.591, 100
0.423, 61.576, 100
2.423, 61.558, 100
4.423, 61.535, 100
6.423, 61.506, 100
8.423, 61.474, 100
10.422, 61.432, 100
12.422, 61.386, 97.69
14.421, 61.328, 95.055
16.42, 61.263, 92.344
18.418, 61.187, 89.551
20.416, 61.097, 86.669
22.414, 60.998, 83.687
24.41, 60.876, 80.594
26.405, 60.74, 77.379
28.399, 60.584, 74.023
30.39, 60.397, 70.509
32.379, 60.184, 66.809
34.364, 59.94, 62.893
36.343, 59.654, 58.716
38.314, 59.313, 54.217
40.274, 58.915, 49.311
42.218, 58.445, 43.859
44.139, 57.89, 37.626
46.026, 57.23, 30.13
47.857, 56.427, 20
49.612, 55.471, 20
51.268, 54.351, 20
52.761, 53.023, 20
54.092, 51.532, 20
55.208, 49.875, 20
56.153, 48.113, 20
56.918, 46.266, 20
57.555, 44.371, 20
58.092, 42.445, 20
58.544, 40.497, 30.15
58.94, 38.536, 45.874
59.297, 36.568, 49.315
59.628, 34.596, 43.863
59.941, 32.621, 37.63
60.246, 30.644, 30.133
60.547, 28.667, 20
59.263, 28.95, 100
57.508, 29.908, 100
55.752, 30.865, 100
53.962, 31.758, 100
52.173, 32.651, 100
50.366, 33.508, 100
48.541, 34.326, 100
46.71, 35.129, 100
44.848, 35.861, 100
42.985, 36.587, 100
41.087, 37.218, 100
39.185, 37.834, 100
37.252, 38.349, 100
35.307, 38.812, 99.867
33.344, 39.19, 97.29
31.361, 39.444, 94.645
29.369, 39.602, 91.925
27.37, 39.633, 89.119
25.376, 39.469, 86.222
23.41, 39.114, 83.227
21.495, 38.545, 80.122
19.669, 37.739, 76.892
17.972, 36.688, 73.521
16.443, 35.402, 69.986
15.114, 33.91, 66.26
14.01, 32.244, 67.537
13.107, 30.461, 71.924
12.39, 28.596, 77.937
11.838, 26.675, 80.59
11.434, 24.717, 77.375
11.158, 22.737, 74.021
10.995, 20.744, 70.508
10.933, 18.746, 66.809
10.96, 16.746, 62.893
11.069, 14.75, 58.717
11.253, 12.759, 54.219
11.508, 10.775, 49.313
11.83, 8.801, 43.862
12.218, 6.84, 37.629
12.674, 4.892, 30.132
13.215, 2.967, 20
13.844, 1.069, 20
14.645, -0.762, 16.815
15.316, -1.65, 0
15.316, -1.65, 0
27.373, -17.607, 0
endData
127
100
200
-51.242, -54.289, 12.279, -12.279, -71.741, 57.063, -10.497, 61.618
-10.497, 61.618, 56.567, 61.618, 56.06, 58.075, 60.616, 28.212
60.616, 28.212, -4.93, 65.414, 12.026, 0.121, 15.316, -1.65
